Code;pH;TOC;P;K;Mg;Ca;Na;MC;CEC
AA_1;7.2;1.32;26;35;19;319;8.6;2.048.163.464;1.880.468.227
AA_2;6.6;1.24;21;36;22;260;10.6;231.367.466;1.621.727.982
AA_3;7.2;1.3;33;28;13;281;4.5;1.993.047.509;1.604.693.423
AA_4;6.9;1.12;27;42;11;177;13;1.691.772.885;1.140.880.713
AA_5;7;1.13;24;15;9;216;4.5;1.799.213.789;1.213.026.756
AA_6;6.8;1.11;23;22;20;293;12.4;2.052.761.748;1.741.989.967
AA_7;6.3;0.93;15;13;8;154;5.1;1.715.289.982;892.173.913
AA_8;6.8;0.98;21;22;11;203;5.8;19.589.309;1.188.294.314
AA_9;6.7;1.09;22;21;14;273;5.1;2.145.464.757;1.557.686.734
AA_10;6.7;1.09;26;22;11;198;6;1.882.497.693;116.416.388
AA_11;6.3;0.96;14;15;7;150;5.9;1.636.726.547;8.724.470.457
AA_12;6.6;1.26;24;28;17;245;6.7;2.204.815.782;1.467.591.973
AA_13;6.7;1.1;16;19;13;246;5.8;2.081.694.402;1.412.268.673
AA_14;7;1.16;34;26;12;230;8.4;1.848.184.818;1.353.188.406
AA_15;7;1.27;18;17;9;193;7.1;1.670.984.456;1.114.459.309
AA_16;7;0.77;15;18;10;199;5;1.977.063.077;114.622.631
AA_17;7.1;1.05;18;24;15;284;11.3;2.024.486.226;1.655.668.896
AA_18;7.1;1.04;28;32;12;193;9;1.867.140.514;1.186.181.717
AA_19;6.6;1.05;16;23;10;149;6.8;1.931.818.182;9.168.729.097
AA_20;6.8;1.14;17;18;13;248;5.1;2.098.044.937;1.416.661.093
AA_21;7.1;1.05;17;19;12;241;5.8;203.471.827;137.893.534
AA_22;7.1;0.98;24;21;12;219;4.9;1.633.733.239;1.270.150.502
AA_23;6.6;1.02;19;17;9;179;5.1;1.846.938.776;1.035.763.657
AA_24;6.4;1.2;14;22;14;214;4.6;2.204.195.804;1.263.076.923
AA_25;7;1.19;22;25;14;215;7.8;189.766.181;1.289.682.274
AA_26;7.2;1.37;25;34;12;200;4.8;1.823.770.492;1.208.049.052
AA_27;7.3;1.26;32;21;19;454;3.4;1.937.017.231;2.496.962.096
AA_28;6.7;0.97;19;22;24;287;8.2;2.290.965.571;172.706.243
AA_29;7.2;1.32;19;29;21;257;10.6;2.125.917.561;1.580.445.931
AA_30;7.1;1.17;24;23;16;216;5.5;1.672.883.788;1.296.220.736
AA_32;6.7;1.18;20;20;17;215;13.5;2.120.863.309;132.664.437
