; Units;Ag Compound;Ag Compound Error;Ag Compound Level;Ag Concentration;Ag Error 1s;As Compound;As Compound Error;As Compound Level;As Concentration;As Error 1s;Ba Compound;Ba Compound Error;Ba Compound Level;Ba Concentration;Ba Error 1s;Bi Compound;Bi Compound Error;Bi Compound Level;Bi Concentration;Bi Error 1s;Ca Compound;Ca Compound Error;Ca Compound Level;Ca Concentration;Ca Error 1s;Cd Compound;Cd Compound Error;Cd Compound Level;Cd Concentration;Cd Error 1s;Ce Compound;Ce Compound Error;Ce Compound Level;Ce Concentration;Ce Error 1s;Co Compound;Co Compound Error;Co Compound Level;Co Concentration;Co Error 1s;Collimation Status;Cr Compound;Cr Compound Error;Cr Compound Level;Cr Concentration;Cr Error 1s;Cu Compound;Cu Compound Error;Cu Compound Level;Cu Concentration;Cu Error 1s;Date;Fe Compound;Fe Compound Error;Fe Compound Level;Fe Concentration;Fe Error 1s;Hg Compound;Hg Compound Error;Hg Compound Level;Hg Concentration;Hg Error 1s;Instrument Serial Num;K Compound;K Compound Error;K Compound Level;K Concentration;K Error 1s;La Compound;La Compound Error;La Compound Level;La Concentration;La Error 1s;Latitude;Longitude;Method Name;Mn Compound;Mn Compound Error;Mn Compound Level;Mn Concentration;Mn Error 1s;Mo Compound;Mo Compound Error;Mo Compound Level;Mo Concentration;Mo Error 1s;Nb Compound;Nb Compound Error;Nb Compound Level;Nb Concentration;Nb Error 1s;Nd Compound;Nd Compound Error;Nd Compound Level;Nd Concentration;Nd Error 1s;Ni Compound;Ni Compound Error;Ni Compound Level;Ni Concentration;Ni Error 1s;P Compound;P Compound Error;P Compound Level;P Concentration;P Error 1s;Pb Compound;Pb Compound Error;Pb Compound Level;Pb Concentration;Pb Error 1s;Pr Compound;Pr Compound Error;Pr Compound Level;Pr Concentration;Pr Error 1s;Rb Compound;Rb Compound Error;Rb Compound Level;Rb Concentration;Rb Error 1s;Reading #;S Compound;S Compound Error;S Compound Level;S Concentration;S Error 1s;Sb Compound;Sb Compound Error;Sb Compound Level;Sb Concentration;Sb Error 1s;Se Compound;Se Compound Error;Se Compound Level;Se Concentration;Se Error 1s;Sn Compound;Sn Compound Error;Sn Compound Level;Sn Concentration;Sn Error 1s;Sr Compound;Sr Compound Error;Sr Compound Level;Sr Concentration;Sr Error 1s;Ta Compound;Ta Compound Error;Ta Compound Level;Ta Concentration;Ta Error 1s;Test Label;Th Compound;Th Compound Error;Th Compound Level;Th Concentration;Th Error 1s;Ti Compound;Ti Compound Error;Ti Compound Level;Ti Concentration;Ti Error 1s;Time;U Compound;U Compound Error;U Compound Level;U Concentration;U Error 1s;Unnamed: 0;Unnamed: 11;Unnamed: 12;Unnamed: 177;Unnamed: 197;User Factor Name;V Compound;V Compound Error;V Compound Level;V Concentration;V Error 1s;W Compound;W Compound Error;W Compound Level;W Concentration;W Error 1s;Y Compound;Y Compound Error;Y Compound Level;Y Concentration;Y Error 1s;Zn Compound;Zn Compound Error;Zn Compound Level;Zn Concentration;Zn Error 1s;Zr Compound;Zr Compound Error;Zr Compound Level;Zr Concentration;Zr Error 1s;info
44;ppm;;;;0.0;1.0;;;;9.0;1.0;;;;188.0;8.0;;;;9.0;1.0;;;;15369.0;46.0;;;;0.0;1.0;;;;55.0;31.0;;;;33.0;7.0;No;;;;50.0;1.0;;;;14.0;1.0;16/05/2019;;;;15187.0;41.0;;;;1.0;1.0;801305;;;;15212.0;53.0;;;;1.0;16.0;;;Soil;;;;212.0;2.0;;;;0.0;1.0;;;;9.0;1.0;;;;-259.0;103.0;;;;20.0;2.0;;;;1576.0;282.0;;;;16.0;1.0;;;;-176.0;43.0;;;;74.0;1.0;46;;;;394.0;33.0;;;;2.0;2.0;;;;0.0;0.0;;;;2.0;2.0;;;;93.0;2.0;;;;19.0;5.0;46;;;;6.0;2.0;;;;2449.0;9.0;16:18:11;;;;2.0;1.0;0;;;;;;;;;43.0;1.0;;;;1.0;1.0;;;;22.0;1.0;;;;53.0;1.0;;;;338.0;4.0;AB_15
45;ppm;;;;1.0;1.0;;;;8.0;1.0;;;;208.0;8.0;;;;10.0;1.0;;;;11725.0;37.0;;;;-1.0;1.0;;;;119.0;31.0;;;;45.0;7.0;No;;;;66.0;1.0;;;;14.0;1.0;16/05/2019;;;;17142.0;44.0;;;;2.0;1.0;801305;;;;15757.0;54.0;;;;31.0;16.0;;;Soil;;;;223.0;2.0;;;;-2.0;1.0;;;;10.0;1.0;;;;-205.0;103.0;;;;26.0;2.0;;;;1523.0;264.0;;;;17.0;1.0;;;;-182.0;42.0;;;;77.0;1.0;47;;;;285.0;32.0;;;;0.0;2.0;;;;0.0;0.0;;;;6.0;2.0;;;;92.0;2.0;;;;25.0;5.0;47;;;;9.0;2.0;;;;2613.0;10.0;16:22:42;;;;2.0;1.0;0;;;;;;;;;46.0;1.0;;;;2.0;1.0;;;;22.0;1.0;;;;58.0;1.0;;;;316.0;4.0;AB_16
46;ppm;;;;0.0;1.0;;;;8.0;0.0;;;;201.0;8.0;;;;10.0;1.0;;;;19682.0;54.0;;;;-3.0;1.0;;;;120.0;31.0;;;;40.0;6.0;No;;;;50.0;1.0;;;;11.0;1.0;16/05/2019;;;;12569.0;35.0;;;;1.0;1.0;801305;;;;13361.0;48.0;;;;19.0;16.0;;;Soil;;;;196.0;2.0;;;;0.0;1.0;;;;8.0;1.0;;;;-263.0;103.0;;;;19.0;2.0;;;;1725.0;292.0;;;;15.0;1.0;;;;-154.0;43.0;;;;62.0;0.0;48;;;;468.0;33.0;;;;2.0;2.0;;;;0.0;0.0;;;;6.0;2.0;;;;98.0;2.0;;;;8.0;5.0;48;;;;6.0;2.0;;;;1927.0;8.0;16:29:18;;;;3.0;1.0;0;;;;;;;;;33.0;1.0;;;;1.0;1.0;;;;19.0;1.0;;;;43.0;1.0;;;;279.0;3.0;AB_17
47;ppm;;;;1.0;1.0;;;;10.0;1.0;;;;184.0;8.0;;;;10.0;1.0;;;;23304.0;63.0;;;;0.0;1.0;;;;72.0;31.0;;;;47.0;7.0;No;;;;60.0;1.0;;;;10.0;1.0;16/05/2019;;;;17136.0;44.0;;;;1.0;1.0;801305;;;;16428.0;56.0;;;;24.0;16.0;;;Soil;;;;235.0;2.0;;;;1.0;1.0;;;;11.0;1.0;;;;-357.0;103.0;;;;25.0;2.0;;;;1371.0;318.0;;;;15.0;1.0;;;;-170.0;43.0;;;;78.0;1.0;49;;;;281.0;34.0;;;;5.0;2.0;;;;0.0;0.0;;;;5.0;2.0;;;;110.0;2.0;;;;17.0;5.0;49;;;;7.0;2.0;;;;2679.0;10.0;16:36:13;;;;2.0;1.0;0;;;;;;;;;47.0;1.0;;;;4.0;1.0;;;;19.0;1.0;;;;51.0;1.0;;;;310.0;3.0;AB_18
48;ppm;;;;0.0;1.0;;;;9.0;1.0;;;;200.0;8.0;;;;9.0;2.0;;;;19915.0;58.0;;;;0.0;1.0;;;;116.0;32.0;;;;71.0;8.0;No;;;;68.0;1.0;;;;12.0;1.0;16/05/2019;;;;21924.0;56.0;;;;1.0;1.0;801305;;;;17680.0;61.0;;;;29.0;16.0;;;Soil;;;;250.0;2.0;;;;-1.0;1.0;;;;11.0;1.0;;;;-170.0;105.0;;;;27.0;2.0;;;;1000.0;318.0;;;;20.0;1.0;;;;-265.0;43.0;;;;90.0;1.0;50;;;;347.0;37.0;;;;-3.0;2.0;;;;1.0;0.0;;;;1.0;2.0;;;;96.0;2.0;;;;17.0;5.0;50;;;;7.0;2.0;;;;3225.0;12.0;16:39:57;;;;1.0;1.0;0;;;;;;;;;55.0;1.0;;;;6.0;1.0;;;;21.0;1.0;;;;62.0;1.0;;;;299.0;3.0;AB_19
49;ppm;;;;1.0;1.0;;;;11.0;1.0;;;;190.0;8.0;;;;9.0;2.0;;;;22321.0;63.0;;;;-1.0;1.0;;;;92.0;32.0;;;;60.0;8.0;No;;;;76.0;1.0;;;;14.0;1.0;16/05/2019;;;;20123.0;53.0;;;;2.0;1.0;801305;;;;16123.0;58.0;;;;-3.0;17.0;;;Soil;;;;250.0;2.0;;;;0.0;1.0;;;;9.0;1.0;;;;-63.0;107.0;;;;24.0;2.0;;;;1156.0;328.0;;;;20.0;1.0;;;;-130.0;44.0;;;;81.0;1.0;51;;;;610.0;39.0;;;;1.0;2.0;;;;1.0;0.0;;;;6.0;2.0;;;;112.0;2.0;;;;22.0;5.0;51;;;;8.0;2.0;;;;2789.0;11.0;16:43:48;;;;1.0;1.0;0;;;;;;;;;47.0;1.0;;;;2.0;1.0;;;;19.0;1.0;;;;61.0;1.0;;;;265.0;3.0;AB_20
50;ppm;;;;0.0;1.0;;;;8.0;1.0;;;;175.0;8.0;;;;9.0;1.0;;;;27354.0;72.0;;;;0.0;1.0;;;;128.0;32.0;;;;42.0;7.0;No;;;;48.0;1.0;;;;12.0;1.0;16/05/2019;;;;15352.0;41.0;;;;1.0;1.0;801305;;;;15658.0;55.0;;;;4.0;16.0;;;Soil;;;;222.0;2.0;;;;-1.0;1.0;;;;9.0;1.0;;;;-340.0;105.0;;;;21.0;2.0;;;;2038.0;340.0;;;;18.0;1.0;;;;-157.0;43.0;;;;70.0;1.0;52;;;;490.0;37.0;;;;1.0;2.0;;;;0.0;0.0;;;;6.0;2.0;;;;109.0;2.0;;;;15.0;5.0;52;;;;6.0;2.0;;;;2298.0;9.0;16:47:57;;;;3.0;1.0;0;;;;;;;;;42.0;1.0;;;;2.0;1.0;;;;16.0;1.0;;;;54.0;1.0;;;;280.0;3.0;AB_21
51;ppm;;;;1.0;1.0;;;;11.0;1.0;;;;205.0;8.0;;;;12.0;1.0;;;;9947.0;34.0;;;;1.0;1.0;;;;103.0;31.0;;;;56.0;8.0;No;;;;74.0;1.0;;;;13.0;1.0;16/05/2019;;;;21431.0;53.0;;;;1.0;1.0;801305;;;;17615.0;60.0;;;;63.0;16.0;;;Soil;;;;216.0;2.0;;;;-1.0;1.0;;;;10.0;1.0;;;;-481.0;103.0;;;;24.0;2.0;;;;2050.0;274.0;;;;19.0;1.0;;;;-134.0;42.0;;;;87.0;1.0;53;;;;411.0;34.0;;;;2.0;2.0;;;;1.0;0.0;;;;6.0;2.0;;;;85.0;2.0;;;;21.0;5.0;53;;;;10.0;2.0;;;;3049.0;11.0;16:52:11;;;;2.0;1.0;0;;;;;;;;;53.0;1.0;;;;4.0;1.0;;;;17.0;1.0;;;;61.0;1.0;;;;310.0;3.0;AB_22
52;ppm;;;;2.0;1.0;;;;9.0;1.0;;;;201.0;8.0;;;;13.0;1.0;;;;11641.0;37.0;;;;1.0;1.0;;;;113.0;30.0;;;;39.0;7.0;No;;;;73.0;1.0;;;;12.0;1.0;16/05/2019;;;;17194.0;43.0;;;;2.0;1.0;801305;;;;16454.0;55.0;;;;32.0;16.0;;;Soil;;;;263.0;2.0;;;;1.0;1.0;;;;11.0;1.0;;;;-211.0;100.0;;;;23.0;2.0;;;;1855.0;265.0;;;;18.0;1.0;;;;-245.0;41.0;;;;81.0;1.0;54;;;;408.0;32.0;;;;3.0;2.0;;;;0.0;0.0;;;;2.0;2.0;;;;88.0;2.0;;;;17.0;5.0;54;;;;5.0;2.0;;;;2897.0;10.0;16:57:06;;;;2.0;1.0;0;;;;;;;;;48.0;1.0;;;;2.0;1.0;;;;20.0;1.0;;;;56.0;1.0;;;;327.0;4.0;AB_23
53;ppm;;;;0.0;1.0;;;;10.0;1.0;;;;202.0;8.0;;;;10.0;1.0;;;;24612.0;67.0;;;;1.0;1.0;;;;134.0;31.0;;;;38.0;7.0;No;;;;59.0;1.0;;;;13.0;1.0;16/05/2019;;;;18168.0;47.0;;;;2.0;1.0;801305;;;;16421.0;57.0;;;;52.0;16.0;;;Soil;;;;222.0;2.0;;;;0.0;1.0;;;;10.0;1.0;;;;-44.0;104.0;;;;25.0;2.0;;;;1051.0;325.0;;;;16.0;1.0;;;;-151.0;43.0;;;;80.0;1.0;55;;;;338.0;36.0;;;;1.0;2.0;;;;0.0;0.0;;;;8.0;2.0;;;;111.0;2.0;;;;16.0;5.0;55;;;;8.0;2.0;;;;2859.0;10.0;17:01:40;;;;2.0;1.0;0;;;;;;;;;47.0;1.0;;;;1.0;1.0;;;;20.0;1.0;;;;51.0;1.0;;;;299.0;3.0;AB_24
54;ppm;;;;1.0;1.0;;;;9.0;1.0;;;;204.0;8.0;;;;8.0;1.0;;;;18370.0;52.0;;;;1.0;1.0;;;;55.0;32.0;;;;35.0;7.0;No;;;;51.0;1.0;;;;13.0;1.0;16/05/2019;;;;15567.0;42.0;;;;2.0;1.0;801305;;;;14652.0;52.0;;;;34.0;17.0;;;Soil;;;;219.0;2.0;;;;-1.0;1.0;;;;9.0;1.0;;;;-49.0;105.0;;;;20.0;2.0;;;;1696.0;297.0;;;;20.0;1.0;;;;-146.0;43.0;;;;72.0;1.0;56;;;;382.0;34.0;;;;3.0;2.0;;;;0.0;0.0;;;;8.0;2.0;;;;100.0;2.0;;;;18.0;5.0;56;;;;6.0;2.0;;;;2249.0;9.0;17:07:34;;;;3.0;1.0;0;;;;;;;;;39.0;1.0;;;;1.0;1.0;;;;19.0;1.0;;;;64.0;1.0;;;;318.0;4.0;AB_25
55;ppm;;;;2.0;1.0;;;;9.0;1.0;;;;202.0;8.0;;;;11.0;1.0;;;;20447.0;58.0;;;;1.0;1.0;;;;124.0;32.0;;;;55.0;7.0;No;;;;66.0;1.0;;;;14.0;1.0;16/05/2019;;;;17895.0;47.0;;;;2.0;1.0;801305;;;;16268.0;56.0;;;;11.0;16.0;;;Soil;;;;228.0;2.0;;;;0.0;1.0;;;;11.0;1.0;;;;-113.0;105.0;;;;24.0;2.0;;;;1383.0;310.0;;;;16.0;1.0;;;;-160.0;43.0;;;;79.0;1.0;57;;;;344.0;35.0;;;;0.0;2.0;;;;0.0;0.0;;;;6.0;2.0;;;;96.0;2.0;;;;17.0;5.0;57;;;;8.0;2.0;;;;2783.0;10.0;17:12:20;;;;2.0;1.0;0;;;;;;;;;47.0;1.0;;;;3.0;1.0;;;;18.0;1.0;;;;55.0;1.0;;;;339.0;4.0;AB_26
56;ppm;;;;1.0;1.0;;;;8.0;1.0;;;;183.0;8.0;;;;13.0;1.0;;;;32920.0;86.0;;;;0.0;1.0;;;;145.0;31.0;;;;51.0;7.0;No;;;;59.0;1.0;;;;16.0;1.0;16/05/2019;;;;17605.0;46.0;;;;2.0;1.0;801305;;;;16250.0;57.0;;;;13.0;16.0;;;Soil;;;;252.0;2.0;;;;-2.0;1.0;;;;9.0;1.0;;;;-204.0;104.0;;;;25.0;2.0;;;;1613.0;365.0;;;;17.0;1.0;;;;-120.0;43.0;;;;77.0;1.0;58;;;;377.0;38.0;;;;1.0;2.0;;;;0.0;0.0;;;;3.0;2.0;;;;116.0;2.0;;;;20.0;5.0;58;;;;7.0;2.0;;;;2793.0;10.0;17:16:13;;;;1.0;1.0;0;;;;;;;;;46.0;1.0;;;;4.0;1.0;;;;20.0;1.0;;;;56.0;1.0;;;;328.0;4.0;AB_27
57;ppm;;;;0.0;1.0;;;;7.0;1.0;;;;187.0;8.0;;;;5.0;1.0;;;;19010.0;53.0;;;;1.0;1.0;;;;105.0;31.0;;;;29.0;6.0;No;;;;41.0;1.0;;;;11.0;1.0;16/05/2019;;;;13809.0;38.0;;;;2.0;1.0;801305;;;;14146.0;50.0;;;;41.0;16.0;;;Soil;;;;187.0;2.0;;;;-2.0;1.0;;;;9.0;1.0;;;;-225.0;103.0;;;;20.0;2.0;;;;1771.0;292.0;;;;17.0;1.0;;;;-126.0;43.0;;;;68.0;0.0;59;;;;412.0;33.0;;;;6.0;2.0;;;;0.0;0.0;;;;5.0;2.0;;;;99.0;2.0;;;;23.0;5.0;59;;;;8.0;2.0;;;;2270.0;9.0;17:20:25;;;;1.0;1.0;0;;;;;;;;;39.0;1.0;;;;2.0;1.0;;;;18.0;1.0;;;;47.0;1.0;;;;319.0;4.0;AB_28
58;ppm;;;;1.0;1.0;;;;8.0;0.0;;;;167.0;8.0;;;;8.0;1.0;;;;19073.0;52.0;;;;0.0;1.0;;;;86.0;31.0;;;;31.0;5.0;No;;;;29.0;1.0;;;;10.0;1.0;16/05/2019;;;;10581.0;31.0;;;;1.0;1.0;801305;;;;11470.0;43.0;;;;21.0;16.0;;;Soil;;;;166.0;1.0;;;;0.0;1.0;;;;5.0;1.0;;;;-333.0;103.0;;;;13.0;2.0;;;;1900.0;284.0;;;;14.0;1.0;;;;-227.0;43.0;;;;56.0;0.0;60;;;;781.0;35.0;;;;0.0;2.0;;;;0.0;0.0;;;;1.0;2.0;;;;117.0;2.0;;;;18.0;5.0;60;;;;4.0;2.0;;;;1532.0;7.0;17:24:08;;;;2.0;1.0;0;;;;;;;;;26.0;1.0;;;;2.0;1.0;;;;16.0;1.0;;;;42.0;1.0;;;;263.0;3.0;AB_29
59;ppm;;;;1.0;1.0;;;;10.0;1.0;;;;213.0;8.0;;;;10.0;1.0;;;;15314.0;46.0;;;;1.0;1.0;;;;77.0;31.0;;;;58.0;7.0;No;;;;58.0;1.0;;;;12.0;1.0;16/05/2019;;;;19328.0;49.0;;;;2.0;1.0;801305;;;;16895.0;58.0;;;;58.0;16.0;;;Soil;;;;232.0;2.0;;;;0.0;1.0;;;;9.0;1.0;;;;-170.0;104.0;;;;24.0;2.0;;;;2221.0;296.0;;;;17.0;1.0;;;;-261.0;43.0;;;;84.0;1.0;61;;;;342.0;34.0;;;;0.0;2.0;;;;0.0;0.0;;;;6.0;2.0;;;;96.0;2.0;;;;13.0;5.0;61;;;;7.0;2.0;;;;2824.0;10.0;17:27:55;;;;5.0;2.0;0;;;;;;;;;51.0;1.0;;;;1.0;1.0;;;;21.0;1.0;;;;59.0;1.0;;;;303.0;3.0;AB_30
62;ppm;;;;0.0;1.0;;;;7.0;1.0;;;;175.0;8.0;;;;5.0;1.0;;;;25350.0;67.0;;;;2.0;1.0;;;;68.0;32.0;;;;21.0;6.0;No;;;;43.0;1.0;;;;10.0;1.0;16/05/2019;;;;10444.0;31.0;;;;1.0;1.0;801305;;;;11751.0;45.0;;;;10.0;17.0;;;Soil;;;;163.0;1.0;;;;1.0;1.0;;;;7.0;1.0;;;;-271.0;106.0;;;;14.0;2.0;;;;1810.0;317.0;;;;15.0;1.0;;;;-157.0;44.0;;;;58.0;0.0;64;;;;375.0;33.0;;;;0.0;3.0;;;;0.0;0.0;;;;2.0;2.0;;;;115.0;2.0;;;;9.0;5.0;64;;;;4.0;2.0;;;;1610.0;7.0;17:41:23;;;;2.0;1.0;0;;;;;;;;;27.0;1.0;;;;3.0;1.0;;;;17.0;1.0;;;;42.0;1.0;;;;258.0;3.0;AB_31
63;ppm;;;;2.0;1.0;;;;7.0;1.0;;;;169.0;8.0;;;;9.0;1.0;;;;34654.0;89.0;;;;-2.0;1.0;;;;41.0;32.0;;;;51.0;6.0;No;;;;48.0;1.0;;;;17.0;1.0;16/05/2019;;;;12761.0;36.0;;;;1.0;1.0;801305;;;;13036.0;48.0;;;;-2.0;17.0;;;Soil;;;;204.0;2.0;;;;-1.0;1.0;;;;9.0;1.0;;;;-82.0;106.0;;;;15.0;2.0;;;;1611.0;361.0;;;;14.0;1.0;;;;-205.0;43.0;;;;64.0;1.0;65;;;;401.0;37.0;;;;4.0;2.0;;;;0.0;0.0;;;;4.0;2.0;;;;124.0;2.0;;;;16.0;5.0;65;;;;8.0;2.0;;;;2107.0;8.0;17:52:35;;;;2.0;1.0;0;;;;;;;;;34.0;1.0;;;;3.0;1.0;;;;17.0;1.0;;;;51.0;1.0;;;;310.0;4.0;AB_32
64;ppm;;;;1.0;1.0;;;;8.0;1.0;;;;196.0;8.0;;;;6.0;1.0;;;;17426.0;51.0;;;;1.0;1.0;;;;68.0;32.0;;;;48.0;7.0;No;;;;48.0;1.0;;;;12.0;1.0;16/05/2019;;;;15990.0;43.0;;;;1.0;1.0;801305;;;;15037.0;54.0;;;;44.0;17.0;;;Soil;;;;179.0;2.0;;;;-1.0;1.0;;;;9.0;1.0;;;;-199.0;106.0;;;;19.0;2.0;;;;1980.0;299.0;;;;17.0;1.0;;;;-233.0;44.0;;;;74.0;1.0;66;;;;336.0;34.0;;;;-1.0;3.0;;;;0.0;0.0;;;;6.0;2.0;;;;100.0;2.0;;;;27.0;6.0;66;;;;5.0;2.0;;;;2446.0;9.0;17:56:25;;;;0.0;1.0;0;;;;;;;;;41.0;1.0;;;;4.0;1.0;;;;19.0;1.0;;;;53.0;1.0;;;;330.0;4.0;AB_33
65;ppm;;;;2.0;1.0;;;;8.0;1.0;;;;175.0;8.0;;;;5.0;1.0;;;;32177.0;83.0;;;;0.0;1.0;;;;50.0;32.0;;;;36.0;6.0;No;;;;41.0;1.0;;;;12.0;1.0;16/05/2019;;;;14097.0;39.0;;;;2.0;1.0;801305;;;;12331.0;46.0;;;;5.0;16.0;;;Soil;;;;180.0;2.0;;;;1.0;1.0;;;;7.0;1.0;;;;-70.0;104.0;;;;20.0;2.0;;;;1762.0;352.0;;;;18.0;1.0;;;;-140.0;43.0;;;;62.0;0.0;67;;;;631.0;38.0;;;;1.0;2.0;;;;0.0;0.0;;;;6.0;2.0;;;;131.0;3.0;;;;11.0;5.0;67;;;;7.0;2.0;;;;1897.0;8.0;18:00:08;;;;1.0;1.0;0;;;;;;;;;31.0;1.0;;;;2.0;1.0;;;;15.0;1.0;;;;51.0;1.0;;;;232.0;3.0;AB_34
66;ppm;;;;2.0;1.0;;;;6.0;0.0;;;;176.0;8.0;;;;4.0;1.0;;;;31172.0;79.0;;;;-1.0;1.0;;;;113.0;32.0;;;;27.0;5.0;No;;;;25.0;1.0;;;;10.0;1.0;16/05/2019;;;;9722.0;29.0;;;;1.0;1.0;801305;;;;10963.0;42.0;;;;29.0;17.0;;;Soil;;;;165.0;1.0;;;;-1.0;1.0;;;;7.0;1.0;;;;-127.0;104.0;;;;13.0;2.0;;;;1192.0;333.0;;;;14.0;1.0;;;;-120.0;43.0;;;;55.0;0.0;68;;;;197.0;33.0;;;;5.0;3.0;;;;0.0;0.0;;;;1.0;2.0;;;;125.0;2.0;;;;8.0;5.0;68;;;;7.0;2.0;;;;1693.0;7.0;18:03:48;;;;2.0;1.0;0;;;;;;;;;26.0;1.0;;;;0.0;1.0;;;;12.0;1.0;;;;37.0;1.0;;;;239.0;3.0;AB_35
67;ppm;;;;1.0;1.0;;;;9.0;1.0;;;;200.0;8.0;;;;5.0;2.0;;;;17524.0;52.0;;;;1.0;1.0;;;;58.0;32.0;;;;59.0;8.0;No;;;;61.0;1.0;;;;12.0;1.0;16/05/2019;;;;20163.0;53.0;;;;2.0;1.0;801305;;;;16255.0;58.0;;;;25.0;17.0;;;Soil;;;;215.0;2.0;;;;-1.0;1.0;;;;9.0;1.0;;;;-198.0;106.0;;;;24.0;2.0;;;;1928.0;312.0;;;;20.0;1.0;;;;-131.0;44.0;;;;85.0;1.0;69;;;;315.0;35.0;;;;2.0;2.0;;;;0.0;0.0;;;;6.0;2.0;;;;99.0;2.0;;;;17.0;5.0;69;;;;5.0;2.0;;;;2901.0;11.0;18:08:20;;;;1.0;1.0;0;;;;;;;;;48.0;1.0;;;;1.0;1.0;;;;21.0;1.0;;;;61.0;1.0;;;;309.0;4.0;AB_36
68;ppm;;;;1.0;1.0;;;;8.0;1.0;;;;201.0;8.0;;;;10.0;1.0;;;;25670.0;69.0;;;;0.0;1.0;;;;107.0;31.0;;;;44.0;7.0;No;;;;44.0;1.0;;;;11.0;1.0;16/05/2019;;;;16030.0;43.0;;;;2.0;1.0;801305;;;;14430.0;52.0;;;;38.0;16.0;;;Soil;;;;187.0;2.0;;;;-1.0;1.0;;;;8.0;1.0;;;;10.0;103.0;;;;19.0;2.0;;;;1167.0;327.0;;;;16.0;1.0;;;;-144.0;43.0;;;;73.0;1.0;70;;;;292.0;35.0;;;;2.0;2.0;;;;0.0;0.0;;;;5.0;2.0;;;;111.0;2.0;;;;10.0;5.0;70;;;;8.0;2.0;;;;2321.0;9.0;18:11:59;;;;2.0;1.0;0;;;;;;;;;39.0;1.0;;;;2.0;1.0;;;;19.0;1.0;;;;52.0;1.0;;;;280.0;3.0;AB_37
69;ppm;;;;0.0;1.0;;;;6.0;0.0;;;;192.0;8.0;;;;7.0;1.0;;;;31400.0;81.0;;;;0.0;1.0;;;;53.0;32.0;;;;22.0;5.0;No;;;;19.0;1.0;;;;9.0;1.0;16/05/2019;;;;9383.0;29.0;;;;2.0;1.0;801305;;;;10572.0;42.0;;;;36.0;17.0;;;Soil;;;;163.0;1.0;;;;1.0;1.0;;;;6.0;1.0;;;;-156.0;106.0;;;;11.0;2.0;;;;1381.0;338.0;;;;13.0;1.0;;;;-151.0;44.0;;;;53.0;0.0;71;;;;196.0;33.0;;;;3.0;3.0;;;;0.0;0.0;;;;4.0;2.0;;;;130.0;3.0;;;;10.0;5.0;71;;;;6.0;2.0;;;;1502.0;7.0;18:17:40;;;;3.0;1.0;0;;;;;;;;;25.0;1.0;;;;-1.0;1.0;;;;14.0;1.0;;;;36.0;1.0;;;;250.0;3.0;AB_38
70;ppm;;;;0.0;1.0;;;;6.0;1.0;;;;183.0;8.0;;;;6.0;1.0;;;;28893.0;76.0;;;;0.0;1.0;;;;95.0;32.0;;;;36.0;6.0;No;;;;37.0;1.0;;;;11.0;1.0;16/05/2019;;;;11544.0;34.0;;;;1.0;1.0;801305;;;;12149.0;46.0;;;;26.0;17.0;;;Soil;;;;153.0;1.0;;;;-1.0;1.0;;;;8.0;1.0;;;;-139.0;107.0;;;;10.0;2.0;;;;1789.0;339.0;;;;18.0;1.0;;;;-216.0;44.0;;;;60.0;0.0;72;;;;360.0;35.0;;;;3.0;3.0;;;;0.0;0.0;;;;3.0;2.0;;;;121.0;3.0;;;;12.0;5.0;72;;;;2.0;2.0;;;;1738.0;8.0;18:22:17;;;;3.0;1.0;0;;;;;;;;;28.0;1.0;;;;2.0;1.0;;;;15.0;1.0;;;;70.0;1.0;;;;255.0;3.0;AB_39
0;ppm;;;;0.0;1.0;;;;7.0;1.0;;;;263.0;8.0;;;;14.0;1.0;;;;4460.0;21.0;;;;-1.0;1.0;;;;139.0;31.0;;;;69.0;7.0;No;;;;75.0;1.0;;;;18.0;1.0;17/05/2019;;;;17025.0;44.0;;;;2.0;1.0;801305;;;;16993.0;58.0;;;;32.0;16.0;;;Soil;;;;499.0;2.0;;;;0.0;2.0;;;;14.0;1.0;;;;-320.0;103.0;;;;26.0;2.0;;;;2119.0;238.0;;;;27.0;1.0;;;;-183.0;43.0;;;;71.0;1.0;9;;;;331.0;31.0;;;;1.0;2.0;;;;0.0;0.0;;;;4.0;2.0;;;;86.0;2.0;;;;19.0;5.0;9;;;;9.0;2.0;;;;3232.0;11.0;15:31:20;;;;6.0;1.0;0;;;;;;;;;52.0;1.0;;;;3.0;1.0;;;;29.0;1.0;;;;61.0;1.0;;;;559.0;5.0;AK_1
